11580	-11500	-1712	-2531	2246	831
11696	-11704	-1464	396	681	2059
12288	-11184	-1428	-1027	-371	-1848
12140	-11368	-1428	-898	461	289
12012	-11436	-1212	-475	314	563
12068	-11316	-1480	-569	72	-235
12004	-11468	-1484	-299	225	323
11724	-11692	-1096	180	-214	-71
12108	-11264	-1340	-1736	1176	626
12012	-11420	-1656	-453	265	202
11984	-11528	-1608	320	81	788
11972	-11504	-1388	-538	200	68
11760	-11840	-1264	-401	-78	-691
11348	-12036	-940	121	1443	1881
10732	-12768	4	-797	708	1217
10988	-12508	-764	-800	-593	-2005
11752	-11872	-1144	-1868	4120	-2333
11028	-12364	-1036	-1750	-1338	-3422
11144	-12320	-908	-658	210	-332
11336	-12004	-756	-1731	-605	-2169
10568	-12996	-392	-292	562	1115
10796	-12704	-480	-458	174	-104
10672	-12892	-528	-350	419	678
10652	-12692	-348	-457	270	218
10676	-12856	-244	-530	170	-137
10692	-12808	-516	-395	364	413
10644	-12868	-356	-483	227	-7
10720	-12900	-464	-506	173	10
10632	-12900	-452	-384	392	547
10616	-12980	-420	-333	263	304
10508	-12916	-252	-348	232	340
10560	-13000	-372	-487	331	233
10648	-12876	-72	-574	345	249
10628	-12844	-240	-349	271	388
10616	-12848	-516	-503	33	-323
10572	-12940	-392	-1081	-267	-1834
11208	-12392	-532	-468	179	85
10416	-12992	-436	-593	137	-252
10804	-12756	-392	-566	123	-210
10572	-12868	-540	-474	254	206
10460	-13076	-716	-1189	-290	-2385
10784	-12744	-432	-676	238	469
10688	-12868	-392	-350	231	361
10608	-12884	-296	-410	291	278
10796	-12708	-328	-730	821	224
10288	-13116	-776	-270	767	-1115
10592	-12880	-192	-535	-25	-680
10708	-12792	-268	-376	239	211
10724	-12900	-288	-444	229	241
10604	-12824	-412	-449	297	241
10560	-12868	-368	-431	285	254
10588	-12984	-404	-471	468	801
10492	-12796	-440	-424	312	243
10492	-12968	-484	-427	297	211
15276	-12576	-728	12217	-17498	-14951
12876	-12504	2088	1570	-10556	-2476
15592	-16728	-6888	21840	-5695	-11125
13336	-10348	-2880	-23690	-22898	-18777
13484	-4152	-2180	4080	-868	-127
15020	-4744	1040	1776	-3755	-20008
9728	9008	4056	2194	15418	-13142
18756	-10140	1772	-32768	-8783	7184
18828	10748	-4604	-6586	835	-9184
16192	-280	7716	-32051	17558	10207
20444	11020	8080	-32768	13200	2834
-1228	2872	9384	-13779	-4199	-22008
1712	-6652	5120	10295	2681	15704
12944	7324	-10332	-8415	32767	32767
17168	-4460	8300	-16101	-4383	-16304
16940	-7624	6248	-388	-2797	30481
-7324	-864	16392	-22212	-5244	32767
-3268	1868	19004	22976	33	17744
3160	7512	18400	-1219	7422	-5416
3888	-3172	15560	-20292	3180	-32768
1228	-892	17932	-783	5816	6007
-584	-9744	18004	11990	-4742	9566
-2628	1384	16852	7324	8746	12099
-3600	2472	17392	3215	-6440	3150
-1160	2460	17904	3526	-16650	3411
1320	3632	17732	1592	-3459	-735
1684	3944	17924	-615	998	727
848	3480	15496	-4953	6389	-3172
612	1856	18836	-23169	6223	-15184
1088	-2152	17396	-3748	-2159	-4395
-432	-1468	16364	-128	789	1203
108	-1356	18048	-916	1193	424
-628	-1212	17344	-192	-1319	-727
916	-656	18608	-2033	2261	-804
-180	-376	17196	3245	-4282	-723
-872	1240	16920	6943	4748	3112
216	4876	16160	7319	-3204	1462
464	6628	16160	2662	-1912	404
1296	7752	15200	3632	1879	3497
1008	8376	14540	1749	-3370	249
1500	10344	12888	5644	-5817	-3283
1444	10560	12208	1282	-8872	-1978
1936	10752	12240	2355	-2153	984
2872	11436	12920	5634	-464	1627
3528	11760	12136	-1530	1592	-104
3004	11788	14980	-11630	8051	9053
1956	5096	15816	-32768	-6695	-14541
348	680	16520	-6179	-3635	-1005
